Date,Open,High,Low,Close,Volume,Adj Close
2011-10-20,635.5,640.724,632.5,638.0,5288100,489.178
2011-10-21,638.5,640.5,633.0,636.0,6605500,487.644
2011-10-24,637.0,639.5,628.5,629.5,6673500,482.66
2011-10-25,629.5,635.5,626.0,634.0,8538800,486.111
2011-10-26,634.0,640.69,633.187,640.0,7946600,490.711
2011-10-27,653.5,653.5,623.0,627.5,14552100,481.127
2011-10-28,627.5,630.034,621.0,622.5,5606300,477.293
2011-10-31,622.5,630.5,617.5,617.5,7105500,473.46
2011-11-01,614.5,619.5,609.0,616.0,9898000,472.31
2011-11-02,619.5,624.0,608.5,623.5,8370100,478.06
2011-11-03,619.5,632.5,617.5,626.5,5979700,480.36
2011-11-04,628.5,632.5,622.5,622.5,5740900,477.293
